character_id,character_name,character_gender,character_job,character_house,character_wand,character_patronus,character_species,character_blood_status,character_hair_colour,character_eye_colour,character_loyalty,character_skills,character_birth,character_death,character_first_name,character_primary_name,character2_actor,character2_image_URL,character_death_T/F,book_number,book_mentions,book_name,book_year,movie_number,movie_mentions,movie_name,movie_year
106,Aberforth Dumbledore,Male,"Owner and Barman of the Hog's Head Inn",,Unknown,Goat,Human,Half-blood,Grey,Bright Blue,Order of the Phoenix,"Bartending, caring for Ariana",1 September 1883-31 August 1884,,Aberforth,Aberforth,,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,False,1,0,Harry Potter and the Philosophers Stone,1997,1,0,Harry Potter and the Philosophers Stone,2001
106,Aberforth Dumbledore,Male,"Owner and Barman of the Hog's Head Inn",,Unknown,Goat,Human,Half-blood,Grey,Bright Blue,Order of the Phoenix,"Bartending, caring for Ariana",1 September 1883-31 August 1884,,Aberforth,Aberforth,,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,False,2,0,Harry Potter and the Chamber of Secrets,1998,2,0,Harry Potter and the Chamber of Secrets,2002
106,Aberforth Dumbledore,Male,"Owner and Barman of the Hog's Head Inn",,Unknown,Goat,Human,Half-blood,Grey,Bright Blue,Order of the Phoenix,"Bartending, caring for Ariana",1 September 1883-31 August 1884,,Aberforth,Aberforth,,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,False,3,0,Harry Potter and the Prisoner of Azkaban,1999,3,0,Harry Potter and the Prisoner of Azkaban,2004
106,Aberforth Dumbledore,Male,"Owner and Barman of the Hog's Head Inn",,Unknown,Goat,Human,Half-blood,Grey,Bright Blue,Order of the Phoenix,"Bartending, caring for Ariana",1 September 1883-31 August 1884,,Aberforth,Aberforth,,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,False,4,2,Harry Potter and the Goblet of Fire,2000,4,0,Harry Potter and the Goblet of Fire,2005
106,Aberforth Dumbledore,Male,"Owner and Barman of the Hog's Head Inn",,Unknown,Goat,Human,Half-blood,Grey,Bright Blue,Order of the Phoenix,"Bartending, caring for Ariana",1 September 1883-31 August 1884,,Aberforth,Aberforth,,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,False,5,1,Harry Potter and the Order of the Phoenix,2003,5,0,Harry Potter and the Order of the Phoenix,2007
106,Aberforth Dumbledore,Male,"Owner and Barman of the Hog's Head Inn",,Unknown,Goat,Human,Half-blood,Grey,Bright Blue,Order of the Phoenix,"Bartending, caring for Ariana",1 September 1883-31 August 1884,,Aberforth,Aberforth,,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,False,6,0,Harry Potter and the Half-Blood Prince,2005,6,0,Harry Potter and the Half-Blood Prince,2009
106,Aberforth Dumbledore,Male,"Owner and Barman of the Hog's Head Inn",,Unknown,Goat,Human,Half-blood,Grey,Bright Blue,Order of the Phoenix,"Bartending, caring for Ariana",1 September 1883-31 August 1884,,Aberforth,Aberforth,,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,False,7,74,Harry Potter and the Deathly Hallows,2007,7,2,Harry Potter and the Deathly Hallows: Part 1,2010
106,Aberforth Dumbledore,Male,"Owner and Barman of the Hog's Head Inn",,Unknown,Goat,Human,Half-blood,Grey,Bright Blue,Order of the Phoenix,"Bartending, caring for Ariana",1 September 1883-31 August 1884,,Aberforth,Aberforth,,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,False,,,,,8,2,Harry Potter and the Deathly Hallows: Part 2,2011
96,Alastor Moody,Male,Auror,,Unknown,Non-corporeal,Human,Pure-blood,Grey,"One dark, one electric blue",Order of the Phoenix,"A highly accomplished Auror and an outstanding duellist, also skilled in non-verbal magic",Pre 1960,"27 July, 1997",Alastor,Alastor,,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,True,1,0,Harry Potter and the Philosophers Stone,1997,1,0,Harry Potter and the Philosophers Stone,2001
96,Alastor Moody,Male,Auror,,Unknown,Non-corporeal,Human,Pure-blood,Grey,"One dark, one electric blue",Order of the Phoenix,"A highly accomplished Auror and an outstanding duellist, also skilled in non-verbal magic",Pre 1960,"27 July, 1997",Alastor,Alastor,,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,True,2,0,Harry Potter and the Chamber of Secrets,1998,2,0,Harry Potter and the Chamber of Secrets,2002
